Plant and tissue mass output file
"Day","Hour","t_0","Y_0","Y_leaf0","Y_root0","Y_seed0","Y_stem0,"Y_n(1           ),Y_n(2           ),Y_n(3           ),,"dY_dt|rk est"
"0","0",0.00, 1.22E-05, 6.25E-06, 3.27E-06, 0.00E+00, 2.58E-06, 1.22E-05, 1.22E-05, 1.22E-05, 8.63E-09
"0","1",1.00, 1.22E-05, 6.25E-06, 3.27E-06, 0.00E+00, 2.58E-06, 1.22E-05, 1.22E-05, 1.22E-05, 1.04E-08
"0","2",2.00, 1.22E-05, 6.26E-06, 3.27E-06, 0.00E+00, 2.58E-06, 1.22E-05, 1.22E-05, 1.22E-05, 1.04E-08
"0","3",3.00, 1.22E-05, 6.26E-06, 3.27E-06, 0.00E+00, 2.58E-06, 1.22E-05, 1.22E-05, 1.23E-05, 1.04E-08
"0","4",4.00, 1.23E-05, 6.26E-06, 3.27E-06, 0.00E+00, 2.59E-06, 1.23E-05, 1.23E-05, 1.23E-05, 1.04E-08
"0","5",5.00, 1.23E-05, 6.26E-06, 3.27E-06, 0.00E+00, 2.59E-06, 1.23E-05, 1.23E-05, 1.23E-05, 1.04E-08
"0","6",6.00, 1.23E-05, 6.27E-06, 3.27E-06, 0.00E+00, 2.59E-06, 1.23E-05, 1.23E-05, 1.23E-05, 1.04E-08
"0","7",7.00, 1.23E-05, 6.27E-06, 3.28E-06, 0.00E+00, 2.59E-06, 1.23E-05, 1.23E-05, 1.23E-05, 1.04E-08
"0","8",8.00, 1.23E-05, 6.27E-06, 3.28E-06, 0.00E+00, 2.59E-06, 1.23E-05, 1.23E-05, 1.23E-05, 1.04E-08
"0","9",9.00, 1.23E-05, 6.27E-06, 3.28E-06, 0.00E+00, 2.59E-06, 1.23E-05, 1.23E-05, 1.23E-05, 1.04E-08
"0","10",10.00, 1.23E-05, 6.28E-06, 3.28E-06, 0.00E+00, 2.59E-06, 1.23E-05, 1.23E-05, 1.23E-05, 1.04E-08
"0","11",11.00, 1.23E-05, 6.28E-06, 3.28E-06, 0.00E+00, 2.59E-06, 1.23E-05, 1.23E-05, 1.23E-05, 1.04E-08
"0","12",12.00, 1.23E-05, 6.28E-06, 3.28E-06, 0.00E+00, 2.59E-06, 1.23E-05, 1.23E-05, 1.23E-05, 1.04E-08
"0","13",13.00, 1.23E-05, 6.28E-06, 3.28E-06, 0.00E+00, 2.60E-06, 1.23E-05, 1.23E-05, 1.23E-05, 1.04E-08
"0","14",14.00, 1.23E-05, 6.29E-06, 3.29E-06, 0.00E+00, 2.60E-06, 1.23E-05, 1.23E-05, 1.23E-05, 1.04E-08
"0","15",15.00, 1.23E-05, 6.29E-06, 3.29E-06, 0.00E+00, 2.60E-06, 1.23E-05, 1.23E-05, 1.23E-05, 1.04E-08
"0","16",16.00, 1.23E-05, 6.29E-06, 3.29E-06, 0.00E+00, 2.60E-06, 1.23E-05, 1.23E-05, 1.23E-05, 1.04E-08
"0","17",17.00, 1.23E-05, 6.30E-06, 3.29E-06, 0.00E+00, 2.60E-06, 1.23E-05, 1.23E-05, 1.23E-05, 1.04E-08
"0","18",18.00, 1.23E-05, 6.30E-06, 3.29E-06, 0.00E+00, 2.60E-06, 1.23E-05, 1.23E-05, 1.23E-05, 1.04E-08
"0","19",19.00, 1.23E-05, 6.30E-06, 3.29E-06, 0.00E+00, 2.60E-06, 1.23E-05, 1.23E-05, 1.23E-05, 1.04E-08
"0","20",20.00, 1.23E-05, 6.30E-06, 3.29E-06, 0.00E+00, 2.60E-06, 1.23E-05, 1.23E-05, 1.23E-05, 1.04E-08
"0","21",21.00, 1.23E-05, 6.31E-06, 3.30E-06, 0.00E+00, 2.60E-06, 1.23E-05, 1.23E-05, 1.23E-05, 1.04E-08
"0","22",22.00, 1.23E-05, 6.31E-06, 3.30E-06, 0.00E+00, 2.61E-06, 1.23E-05, 1.23E-05, 1.24E-05, 1.04E-08
"0","23",23.00, 1.24E-05, 6.31E-06, 3.30E-06, 0.00E+00, 2.61E-06, 1.24E-05, 1.24E-05, 1.24E-05, 1.04E-08
"1","0",24.00, 1.24E-05, 6.31E-06, 3.30E-06, 0.00E+00, 2.61E-06, 1.24E-05, 1.24E-05, 1.24E-05, 1.04E-08
"1","1",25.00, 1.24E-05, 6.32E-06, 3.30E-06, 0.00E+00, 2.61E-06, 1.24E-05, 1.24E-05, 1.24E-05, 1.04E-08
"1","2",26.00, 1.24E-05, 6.32E-06, 3.30E-06, 0.00E+00, 2.61E-06, 1.24E-05, 1.24E-05, 1.24E-05, 1.04E-08
"1","3",27.00, 1.24E-05, 6.32E-06, 3.30E-06, 0.00E+00, 2.61E-06, 1.24E-05, 1.24E-05, 1.24E-05, 1.04E-08
"1","4",28.00, 1.24E-05, 6.33E-06, 3.30E-06, 0.00E+00, 2.61E-06, 1.24E-05, 1.24E-05, 1.24E-05, 1.04E-08
"1","5",29.00, 1.24E-05, 6.33E-06, 3.31E-06, 0.00E+00, 2.61E-06, 1.24E-05, 1.24E-05, 1.24E-05, 1.04E-08
"1","6",30.00, 1.24E-05, 6.33E-06, 3.31E-06, 0.00E+00, 2.61E-06, 1.24E-05, 1.24E-05, 1.24E-05, 1.04E-08
"1","7",31.00, 1.24E-05, 6.33E-06, 3.31E-06, 0.00E+00, 2.62E-06, 1.24E-05, 1.24E-05, 1.24E-05, 1.04E-08
"1","8",32.00, 1.24E-05, 6.34E-06, 3.31E-06, 0.00E+00, 2.62E-06, 1.24E-05, 1.24E-05, 1.24E-05, 1.04E-08
"1","9",33.00, 1.24E-05, 6.34E-06, 3.31E-06, 0.00E+00, 2.62E-06, 1.24E-05, 1.24E-05, 1.24E-05, 1.04E-08
"1","10",34.00, 1.24E-05, 6.34E-06, 3.31E-06, 0.00E+00, 2.62E-06, 1.24E-05, 1.24E-05, 1.24E-05, 1.04E-08
"1","11",35.00, 1.24E-05, 6.34E-06, 3.31E-06, 0.00E+00, 2.62E-06, 1.24E-05, 1.24E-05, 1.24E-05, 1.04E-08
"1","12",36.00, 1.24E-05, 6.35E-06, 3.32E-06, 0.00E+00, 2.62E-06, 1.24E-05, 1.24E-05, 1.24E-05, 1.04E-08
"1","13",37.00, 1.24E-05, 6.35E-06, 3.32E-06, 0.00E+00, 2.62E-06, 1.24E-05, 1.24E-05, 1.24E-05, 1.04E-08
"1","14",38.00, 1.24E-05, 6.35E-06, 3.32E-06, 0.00E+00, 2.62E-06, 1.24E-05, 1.24E-05, 1.24E-05, 1.04E-08
"1","15",39.00, 1.24E-05, 6.35E-06, 3.32E-06, 0.00E+00, 2.62E-06, 1.24E-05, 1.24E-05, 1.24E-05, 1.04E-08
"1","16",40.00, 1.24E-05, 6.36E-06, 3.32E-06, 0.00E+00, 2.63E-06, 1.24E-05, 1.24E-05, 1.24E-05, 1.04E-08
"1","17",41.00, 1.24E-05, 6.36E-06, 3.32E-06, 0.00E+00, 2.63E-06, 1.24E-05, 1.25E-05, 1.25E-05, 1.04E-08
"1","18",42.00, 1.25E-05, 6.36E-06, 3.32E-06, 0.00E+00, 2.63E-06, 1.25E-05, 1.25E-05, 1.25E-05, 1.04E-08
"1","19",43.00, 1.25E-05, 6.37E-06, 3.33E-06, 0.00E+00, 2.63E-06, 1.25E-05, 1.25E-05, 1.25E-05, 1.04E-08
"1","20",44.00, 1.25E-05, 6.37E-06, 3.33E-06, 0.00E+00, 2.63E-06, 1.25E-05, 1.25E-05, 1.25E-05, 1.04E-08
"1","21",45.00, 1.25E-05, 6.37E-06, 3.33E-06, 0.00E+00, 2.63E-06, 1.25E-05, 1.25E-05, 1.25E-05, 1.04E-08
"1","22",46.00, 1.25E-05, 6.37E-06, 3.33E-06, 0.00E+00, 2.63E-06, 1.25E-05, 1.25E-05, 1.25E-05, 1.04E-08
"1","23",47.00, 1.25E-05, 6.38E-06, 3.33E-06, 0.00E+00, 2.63E-06, 1.25E-05, 1.25E-05, 1.25E-05, 1.04E-08
"2","0",48.00, 1.25E-05, 6.38E-06, 3.33E-06, 0.00E+00, 2.63E-06, 1.25E-05, 1.25E-05, 1.25E-05, 1.04E-08
"2","1",49.00, 1.25E-05, 6.38E-06, 3.33E-06, 0.00E+00, 2.64E-06, 1.25E-05, 1.25E-05, 1.25E-05, 1.04E-08
"2","2",50.00, 1.25E-05, 6.38E-06, 3.34E-06, 0.00E+00, 2.64E-06, 1.25E-05, 1.25E-05, 1.25E-05, 1.04E-08
"2","3",51.00, 1.25E-05, 6.39E-06, 3.34E-06, 0.00E+00, 2.64E-06, 1.25E-05, 1.25E-05, 1.25E-05, 1.04E-08
"2","4",52.00, 1.25E-05, 6.39E-06, 3.34E-06, 0.00E+00, 2.64E-06, 1.25E-05, 1.25E-05, 1.25E-05, 1.04E-08
"2","5",53.00, 1.25E-05, 6.39E-06, 3.34E-06, 0.00E+00, 2.64E-06, 1.25E-05, 1.25E-05, 1.25E-05, 1.04E-08
"2","6",54.00, 1.25E-05, 6.40E-06, 3.34E-06, 0.00E+00, 2.64E-06, 1.25E-05, 1.25E-05, 1.25E-05, 1.04E-08
"2","7",55.00, 1.25E-05, 6.40E-06, 3.34E-06, 0.00E+00, 2.64E-06, 1.25E-05, 1.25E-05, 1.25E-05, 1.04E-08
"2","8",56.00, 1.25E-05, 6.40E-06, 3.34E-06, 0.00E+00, 2.64E-06, 1.25E-05, 1.25E-05, 1.25E-05, 1.04E-08
"2","9",57.00, 1.25E-05, 6.40E-06, 3.35E-06, 0.00E+00, 2.64E-06, 1.25E-05, 1.25E-05, 1.25E-05, 1.04E-08
"2","10",58.00, 1.25E-05, 6.41E-06, 3.35E-06, 0.00E+00, 2.65E-06, 1.25E-05, 1.25E-05, 1.25E-05, 1.04E-08
"2","11",59.00, 1.25E-05, 6.41E-06, 3.35E-06, 0.00E+00, 2.65E-06, 1.25E-05, 1.25E-05, 1.25E-05, 1.04E-08
"2","12",60.00, 1.25E-05, 6.41E-06, 3.35E-06, 0.00E+00, 2.65E-06, 1.25E-05, 1.26E-05, 1.26E-05, 3.10E-08
"2","13",61.00, 1.26E-05, 6.42E-06, 3.35E-06, 0.00E+00, 2.65E-06, 1.26E-05, 1.26E-05, 1.26E-05, 6.33E-08
"2","14",62.00, 1.26E-05, 6.44E-06, 3.36E-06, 0.00E+00, 2.66E-06, 1.26E-05, 1.26E-05, 1.27E-05, 9.09E-08
"2","15",63.00, 1.26E-05, 6.46E-06, 3.38E-06, 0.00E+00, 2.67E-06, 1.26E-05, 1.27E-05, 1.27E-05, 1.14E-07
"2","16",64.00, 1.27E-05, 6.49E-06, 3.39E-06, 0.00E+00, 2.68E-06, 1.27E-05, 1.27E-05, 1.28E-05, 1.30E-07
"2","17",65.00, 1.28E-05, 6.52E-06, 3.41E-06, 0.00E+00, 2.69E-06, 1.28E-05, 1.28E-05, 1.29E-05, 1.38E-07
"2","18",66.00, 1.28E-05, 6.56E-06, 3.43E-06, 0.00E+00, 2.71E-06, 1.28E-05, 1.29E-05, 1.29E-05, 1.38E-07
"2","19",67.00, 1.29E-05, 6.60E-06, 3.45E-06, 0.00E+00, 2.72E-06, 1.29E-05, 1.30E-05, 1.30E-05, 1.30E-07
"2","20",68.00, 1.30E-05, 6.63E-06, 3.46E-06, 0.00E+00, 2.74E-06, 1.30E-05, 1.30E-05, 1.31E-05, 1.13E-07
"2","21",69.00, 1.30E-05, 6.66E-06, 3.48E-06, 0.00E+00, 2.75E-06, 1.30E-05, 1.31E-05, 1.31E-05, 8.97E-08
"2","22",70.00, 1.31E-05, 6.68E-06, 3.49E-06, 0.00E+00, 2.76E-06, 1.31E-05, 1.31E-05, 1.31E-05, 6.08E-08
"2","23",71.00, 1.31E-05, 6.70E-06, 3.50E-06, 0.00E+00, 2.77E-06, 1.31E-05, 1.31E-05, 1.31E-05, 2.85E-08
"3","0",72.00, 1.31E-05, 6.71E-06, 3.50E-06, 0.00E+00, 2.77E-06, 1.31E-05, 1.34E-05, 1.37E-05, 9.06E-07
"3","1",73.00, 1.36E-05, 6.94E-06, 3.63E-06, 0.00E+00, 2.87E-06, 1.36E-05, 1.39E-05, 1.42E-05, 8.66E-07
"3","2",74.00, 1.40E-05, 7.17E-06, 3.74E-06, 0.00E+00, 2.96E-06, 1.40E-05, 1.43E-05, 1.46E-05, 8.33E-07
"3","3",75.00, 1.45E-05, 7.38E-06, 3.86E-06, 0.00E+00, 3.05E-06, 1.45E-05, 1.47E-05, 1.50E-05, 8.01E-07
"3","4",76.00, 1.49E-05, 7.59E-06, 3.97E-06, 0.00E+00, 3.14E-06, 1.49E-05, 1.51E-05, 1.54E-05, 7.82E-07
"3","5",77.00, 1.53E-05, 7.80E-06, 4.07E-06, 0.00E+00, 3.22E-06, 1.53E-05, 1.55E-05, 1.58E-05, 7.76E-07
"3","6",78.00, 1.57E-05, 8.00E-06, 4.18E-06, 0.00E+00, 3.30E-06, 1.57E-05, 1.59E-05, 1.62E-05, 7.82E-07
"3","7",79.00, 1.61E-05, 8.20E-06, 4.29E-06, 0.00E+00, 3.39E-06, 1.61E-05, 1.63E-05, 1.66E-05, 8.01E-07
"3","8",80.00, 1.65E-05, 8.41E-06, 4.39E-06, 0.00E+00, 3.47E-06, 1.65E-05, 1.67E-05, 1.70E-05, 8.27E-07
"3","9",81.00, 1.69E-05, 8.63E-06, 4.51E-06, 0.00E+00, 3.56E-06, 1.69E-05, 1.72E-05, 1.74E-05, 8.56E-07
"3","10",82.00, 1.73E-05, 8.85E-06, 4.62E-06, 0.00E+00, 3.65E-06, 1.73E-05, 1.76E-05, 1.79E-05, 8.98E-07
"3","11",83.00, 1.78E-05, 9.08E-06, 4.75E-06, 0.00E+00, 3.75E-06, 1.78E-05, 1.81E-05, 1.84E-05, 9.49E-07
"3","12",84.00, 1.83E-05, 9.33E-06, 4.88E-06, 0.00E+00, 3.85E-06, 1.83E-05, 1.83E-05, 1.83E-05, 6.98E-08
"3","13",85.00, 1.83E-05, 9.35E-06, 4.89E-06, 0.00E+00, 3.86E-06, 1.83E-05, 1.83E-05, 1.84E-05, 1.11E-07
"3","14",86.00, 1.84E-05, 9.38E-06, 4.90E-06, 0.00E+00, 3.87E-06, 1.84E-05, 1.84E-05, 1.84E-05, 1.44E-07
"3","15",87.00, 1.84E-05, 9.42E-06, 4.92E-06, 0.00E+00, 3.89E-06, 1.84E-05, 1.85E-05, 1.85E-05, 1.72E-07
"3","16",88.00, 1.85E-05, 9.46E-06, 4.94E-06, 0.00E+00, 3.91E-06, 1.85E-05, 1.86E-05, 1.86E-05, 1.91E-07
"3","17",89.00, 1.86E-05, 9.51E-06, 4.97E-06, 0.00E+00, 3.93E-06, 1.86E-05, 1.87E-05, 1.87E-05, 2.01E-07
"3","18",90.00, 1.87E-05, 9.56E-06, 5.00E-06, 0.00E+00, 3.95E-06, 1.87E-05, 1.88E-05, 1.88E-05, 1.99E-07
"3","19",91.00, 1.88E-05, 9.61E-06, 5.02E-06, 0.00E+00, 3.97E-06, 1.88E-05, 1.89E-05, 1.89E-05, 1.85E-07
"3","20",92.00, 1.89E-05, 9.66E-06, 5.05E-06, 0.00E+00, 3.99E-06, 1.89E-05, 1.90E-05, 1.90E-05, 1.60E-07
"3","21",93.00, 1.90E-05, 9.71E-06, 5.07E-06, 0.00E+00, 4.01E-06, 1.90E-05, 1.90E-05, 1.91E-05, 1.25E-07
"3","22",94.00, 1.91E-05, 9.74E-06, 5.09E-06, 0.00E+00, 4.02E-06, 1.91E-05, 1.91E-05, 1.91E-05, 8.28E-08
"3","23",95.00, 1.91E-05, 9.76E-06, 5.10E-06, 0.00E+00, 4.03E-06, 1.91E-05, 1.91E-05, 1.91E-05, 3.55E-08
"4","0",96.00, 1.91E-05, 9.77E-06, 5.10E-06, 0.00E+00, 4.03E-06, 1.91E-05, 1.95E-05, 1.98E-05, 1.08E-06
